startTime,count
2023-06-18 22:24:34,6
2023-06-18 22:24:35,30
2023-06-18 22:24:36,28
2023-06-18 22:24:37,24
2023-06-18 22:24:38,26
2023-06-18 22:24:39,41
2023-06-18 22:24:40,29
2023-06-18 22:24:41,34
2023-06-18 22:24:42,30
2023-06-18 22:24:43,24
2023-06-18 22:24:44,27
2023-06-18 22:24:45,28
2023-06-18 22:24:46,30
2023-06-18 22:24:47,31
2023-06-18 22:24:48,36
2023-06-18 22:24:49,30
2023-06-18 22:24:50,34
2023-06-18 22:24:51,20
2023-06-18 22:24:52,39
2023-06-18 22:24:53,38
2023-06-18 22:24:54,28
2023-06-18 22:24:55,38
2023-06-18 22:24:56,28
2023-06-18 22:24:57,35
2023-06-18 22:24:58,26
2023-06-18 22:24:59,22
2023-06-18 22:25:00,31
2023-06-18 22:25:01,26
2023-06-18 22:25:02,34
2023-06-18 22:25:03,26
2023-06-18 22:25:04,30
2023-06-18 22:25:05,27
2023-06-18 22:25:06,20
2023-06-18 22:25:07,22
2023-06-18 22:25:08,27
2023-06-18 22:25:09,25
2023-06-18 22:25:10,24
2023-06-18 22:25:11,14
2023-06-18 22:25:12,27
2023-06-18 22:25:13,31
2023-06-18 22:25:14,28
2023-06-18 22:25:15,29
2023-06-18 22:25:16,30
2023-06-18 22:25:17,22
2023-06-18 22:25:18,33
2023-06-18 22:25:19,30
2023-06-18 22:25:20,33
2023-06-18 22:25:21,32
2023-06-18 22:25:22,21
2023-06-18 22:25:23,28
2023-06-18 22:25:24,13
2023-06-18 22:25:25,34
2023-06-18 22:25:26,11
2023-06-18 22:25:27,18
2023-06-18 22:25:28,29
2023-06-18 22:25:29,21
2023-06-18 22:25:30,22
2023-06-18 22:25:31,18
2023-06-18 22:25:32,29
2023-06-18 22:25:33,22
2023-06-18 22:25:34,14
2023-06-18 22:25:35,31
2023-06-18 22:25:36,23
2023-06-18 22:25:37,29
2023-06-18 22:25:38,29
2023-06-18 22:25:39,22
2023-06-18 22:25:40,25
2023-06-18 22:25:41,31
2023-06-18 22:25:42,15
2023-06-18 22:25:43,25
2023-06-18 22:25:44,28
2023-06-18 22:25:45,19
2023-06-18 22:25:46,40
2023-06-18 22:25:47,27
2023-06-18 22:25:48,26
2023-06-18 22:25:49,31
2023-06-18 22:25:50,25
2023-06-18 22:25:51,27
2023-06-18 22:25:52,17
2023-06-18 22:25:53,41
2023-06-18 22:25:54,33
2023-06-18 22:25:55,30
2023-06-18 22:25:56,26
2023-06-18 22:25:57,22
2023-06-18 22:25:58,33
2023-06-18 22:25:59,27
2023-06-18 22:26:00,19
2023-06-18 22:26:01,27
2023-06-18 22:26:02,24
2023-06-18 22:26:03,35
2023-06-18 22:26:04,23
2023-06-18 22:26:05,28
2023-06-18 22:26:06,40
2023-06-18 22:26:07,31
2023-06-18 22:26:08,27
2023-06-18 22:26:09,28
2023-06-18 22:26:10,18
2023-06-18 22:26:11,28
2023-06-18 22:26:12,29
2023-06-18 22:26:13,36
2023-06-18 22:26:14,33
