startTime,count
2023-06-18 21:39:06,2
2023-06-18 21:39:07,10
2023-06-18 21:39:08,12
2023-06-18 21:39:09,6
2023-06-18 21:39:10,9
2023-06-18 21:39:11,10
2023-06-18 21:39:12,4
2023-06-18 21:39:13,9
2023-06-18 21:39:14,8
2023-06-18 21:39:15,3
2023-06-18 21:39:16,8
2023-06-18 21:39:17,9
2023-06-18 21:39:18,6
2023-06-18 21:39:19,9
2023-06-18 21:39:20,8
2023-06-18 21:39:21,5
2023-06-18 21:39:22,10
2023-06-18 21:39:23,8
2023-06-18 21:39:24,4
2023-06-18 21:39:25,9
2023-06-18 21:39:26,7
2023-06-18 21:39:27,3
2023-06-18 21:39:28,9
2023-06-18 21:39:29,8
2023-06-18 21:39:30,3
2023-06-18 21:39:31,10
2023-06-18 21:39:32,6
2023-06-18 21:39:33,2
2023-06-18 21:39:34,9
2023-06-18 21:39:35,9
2023-06-18 21:39:36,6
2023-06-18 21:39:37,9
2023-06-18 21:39:38,6
2023-06-18 21:39:39,3
2023-06-18 21:39:40,10
2023-06-18 21:39:41,9
2023-06-18 21:39:42,5
2023-06-18 21:39:43,7
2023-06-18 21:39:44,4
2023-06-18 21:39:45,3
2023-06-18 21:39:46,9
2023-06-18 21:39:47,6
2023-06-18 21:39:48,2
2023-06-18 21:39:49,11
2023-06-18 21:39:50,7
2023-06-18 21:39:51,5
2023-06-18 21:39:52,8
2023-06-18 21:39:53,5
2023-06-18 21:39:54,3
2023-06-18 21:39:55,10
2023-06-18 21:39:56,6
2023-06-18 21:39:57,4
2023-06-18 21:39:58,8
2023-06-18 21:39:59,6
2023-06-18 21:40:00,4
2023-06-18 21:40:01,7
2023-06-18 21:40:02,6
2023-06-18 21:40:03,2
2023-06-18 21:40:04,7
2023-06-18 21:40:05,6
2023-06-18 21:40:06,2
2023-06-18 21:40:07,8
2023-06-18 21:40:08,5
2023-06-18 21:40:09,3
2023-06-18 21:40:10,8
2023-06-18 21:40:11,4
2023-06-18 21:40:12,0
2023-06-18 21:40:13,8
2023-06-18 21:40:14,5
2023-06-18 21:40:15,4
2023-06-18 21:40:16,9
2023-06-18 21:40:17,7
2023-06-18 21:40:18,2
2023-06-18 21:40:19,7
2023-06-18 21:40:20,6
2023-06-18 21:40:21,3
2023-06-18 21:40:22,8
2023-06-18 21:40:23,5
2023-06-18 21:40:24,2
2023-06-18 21:40:25,5
2023-06-18 21:40:26,5
2023-06-18 21:40:27,2
2023-06-18 21:40:28,4
2023-06-18 21:40:29,4
2023-06-18 21:40:30,3
2023-06-18 21:40:31,4
2023-06-18 21:40:32,5
2023-06-18 21:40:33,2
2023-06-18 21:40:34,5
2023-06-18 21:40:35,3
2023-06-18 21:40:36,0
2023-06-18 21:40:37,7
