startTime,count
2023-06-18 21:39:05,4
2023-06-18 21:39:06,8
2023-06-18 21:39:07,9
2023-06-18 21:39:08,13
2023-06-18 21:39:09,13
2023-06-18 21:39:10,13
2023-06-18 21:39:11,11
2023-06-18 21:39:12,11
2023-06-18 21:39:13,15
2023-06-18 21:39:14,16
2023-06-18 21:39:15,14
2023-06-18 21:39:16,14
2023-06-18 21:39:17,13
2023-06-18 21:39:18,14
2023-06-18 21:39:19,11
2023-06-18 21:39:20,12
2023-06-18 21:39:21,15
2023-06-18 21:39:22,13
2023-06-18 21:39:23,14
2023-06-18 21:39:24,11
2023-06-18 21:39:25,12
2023-06-18 21:39:26,13
2023-06-18 21:39:27,16
2023-06-18 21:39:28,12
2023-06-18 21:39:29,14
2023-06-18 21:39:30,16
2023-06-18 21:39:31,18
2023-06-18 21:39:32,12
2023-06-18 21:39:33,16
2023-06-18 21:39:34,11
2023-06-18 21:39:35,12
2023-06-18 21:39:36,17
2023-06-18 21:39:37,10
2023-06-18 21:39:38,12
2023-06-18 21:39:39,14
2023-06-18 21:39:40,15
2023-06-18 21:39:41,13
2023-06-18 21:39:42,14
2023-06-18 21:39:43,11
2023-06-18 21:39:44,11
2023-06-18 21:39:45,15
2023-06-18 21:39:46,16
2023-06-18 21:39:47,11
2023-06-18 21:39:48,15
2023-06-18 21:39:49,18
2023-06-18 21:39:50,11
2023-06-18 21:39:51,16
2023-06-18 21:39:52,11
2023-06-18 21:39:53,15
2023-06-18 21:39:54,14
2023-06-18 21:39:55,15
2023-06-18 21:39:56,12
2023-06-18 21:39:57,12
2023-06-18 21:39:58,15
2023-06-18 21:39:59,12
2023-06-18 21:40:00,18
2023-06-18 21:40:01,16
2023-06-18 21:40:02,13
2023-06-18 21:40:03,15
2023-06-18 21:40:04,16
2023-06-18 21:40:05,16
2023-06-18 21:40:06,9
2023-06-18 21:40:07,14
2023-06-18 21:40:08,16
2023-06-18 21:40:09,14
2023-06-18 21:40:10,14
2023-06-18 21:40:11,15
2023-06-18 21:40:12,16
2023-06-18 21:40:13,15
2023-06-18 21:40:14,13
2023-06-18 21:40:15,16
2023-06-18 21:40:16,15
2023-06-18 21:40:17,11
2023-06-18 21:40:18,16
2023-06-18 21:40:19,14
2023-06-18 21:40:20,13
2023-06-18 21:40:21,11
2023-06-18 21:40:22,11
2023-06-18 21:40:23,12
2023-06-18 21:40:24,12
2023-06-18 21:40:25,13
2023-06-18 21:40:26,14
2023-06-18 21:40:27,14
2023-06-18 21:40:28,10
2023-06-18 21:40:29,14
2023-06-18 21:40:30,15
2023-06-18 21:40:31,15
2023-06-18 21:40:32,14
2023-06-18 21:40:33,10
2023-06-18 21:40:34,12
2023-06-18 21:40:35,13
2023-06-18 21:40:36,14
2023-06-18 21:40:37,12
2023-06-18 21:40:38,11
2023-06-18 21:40:39,13
2023-06-18 21:40:40,17
2023-06-18 21:40:41,10
2023-06-18 21:40:42,15
2023-06-18 21:40:43,14
2023-06-18 21:40:44,8
2023-06-18 21:40:45,12
2023-06-18 21:40:46,11
2023-06-18 21:40:47,9
2023-06-18 21:40:48,15
2023-06-18 21:40:49,10
2023-06-18 21:40:50,14
2023-06-18 21:40:51,15
2023-06-18 21:40:52,15
2023-06-18 21:40:53,9
2023-06-18 21:40:54,13
2023-06-18 21:40:55,12
2023-06-18 21:40:56,19
2023-06-18 21:40:57,15
2023-06-18 21:40:58,15
2023-06-18 21:40:59,14
2023-06-18 21:41:00,11
2023-06-18 21:41:01,14
2023-06-18 21:41:02,12
2023-06-18 21:41:03,13
2023-06-18 21:41:04,12
2023-06-18 21:41:05,12
2023-06-18 21:41:06,15
2023-06-18 21:41:07,13
2023-06-18 21:41:08,16
2023-06-18 21:41:09,13
2023-06-18 21:41:10,13
2023-06-18 21:41:11,12
2023-06-18 21:41:12,12
2023-06-18 21:41:13,15
2023-06-18 21:41:14,14
2023-06-18 21:41:15,10
2023-06-18 21:41:16,10
2023-06-18 21:41:17,13
2023-06-18 21:41:18,16
2023-06-18 21:41:19,8
2023-06-18 21:41:20,11
2023-06-18 21:41:21,12
2023-06-18 21:41:22,9
2023-06-18 21:41:23,11
2023-06-18 21:41:24,16
2023-06-18 21:41:25,13
2023-06-18 21:41:26,16
2023-06-18 21:41:27,14
2023-06-18 21:41:28,11
2023-06-18 21:41:29,10
2023-06-18 21:41:30,12
2023-06-18 21:41:31,11
2023-06-18 21:41:32,14
2023-06-18 21:41:33,11
2023-06-18 21:41:34,17
2023-06-18 21:41:35,14
2023-06-18 21:41:36,10
2023-06-18 21:41:37,12
2023-06-18 21:41:38,15
2023-06-18 21:41:39,15
2023-06-18 21:41:40,14
2023-06-18 21:41:41,14
2023-06-18 21:41:42,12
2023-06-18 21:41:43,14
2023-06-18 21:41:44,13
2023-06-18 21:41:45,15
2023-06-18 21:41:46,14
2023-06-18 21:41:47,12
2023-06-18 21:41:48,15
2023-06-18 21:41:49,14
2023-06-18 21:41:50,12
2023-06-18 21:41:51,13
2023-06-18 21:41:52,13
2023-06-18 21:41:53,17
2023-06-18 21:41:54,15
2023-06-18 21:41:55,11
2023-06-18 21:41:56,15
2023-06-18 21:41:57,15
2023-06-18 21:41:58,11
2023-06-18 21:41:59,10
2023-06-18 21:42:00,15
