startTime,count
2023-06-18 21:39:05,6
2023-06-18 21:39:06,10
2023-06-18 21:39:07,10
2023-06-18 21:39:08,2
2023-06-18 21:39:09,4
2023-06-18 21:39:10,4
2023-06-18 21:39:11,0
2023-06-18 21:39:12,8
2023-06-18 21:39:13,15
2023-06-18 21:39:14,9
2023-06-18 21:39:15,17
2023-06-18 21:39:16,7
2023-06-18 21:39:17,2
2023-06-18 21:39:18,3
2023-06-18 21:39:19,1
2023-06-18 21:39:20,8
2023-06-18 21:39:21,4
2023-06-18 21:39:22,3
2023-06-18 21:39:23,8
2023-06-18 21:39:24,4
2023-06-18 21:39:25,3
2023-06-18 21:39:26,9
2023-06-18 21:39:27,5
2023-06-18 21:39:28,10
2023-06-18 21:39:29,13
2023-06-18 21:39:30,10
2023-06-18 21:39:31,5
2023-06-18 21:39:32,12
2023-06-18 21:39:33,9
2023-06-18 21:39:34,7
2023-06-18 21:39:35,9
2023-06-18 21:39:36,1
2023-06-18 21:39:37,3
2023-06-18 21:39:38,0
2023-06-18 21:39:39,2
2023-06-18 21:39:40,5
2023-06-18 21:39:41,5
2023-06-18 21:39:42,7
2023-06-18 21:39:43,1
2023-06-18 21:39:44,2
2023-06-18 21:39:45,1
2023-06-18 21:39:46,1
2023-06-18 21:39:47,4
2023-06-18 21:39:48,5
2023-06-18 21:39:49,3
2023-06-18 21:39:50,2
2023-06-18 21:39:51,5
2023-06-18 21:39:52,4
2023-06-18 21:39:53,4
2023-06-18 21:39:54,4
2023-06-18 21:39:55,4
2023-06-18 21:39:56,9
2023-06-18 21:39:57,2
2023-06-18 21:39:58,6
2023-06-18 21:39:59,4
2023-06-18 21:40:00,3
2023-06-18 21:40:01,5
2023-06-18 21:40:02,6
2023-06-18 21:40:03,10
2023-06-18 21:40:04,4
2023-06-18 21:40:05,7
2023-06-18 21:40:06,4
2023-06-18 21:40:07,7
2023-06-18 21:40:08,6
2023-06-18 21:40:09,8
2023-06-18 21:40:10,9
2023-06-18 21:40:11,4
2023-06-18 21:40:12,4
2023-06-18 21:40:13,8
2023-06-18 21:40:14,3
2023-06-18 21:40:15,6
2023-06-18 21:40:16,7
2023-06-18 21:40:17,3
2023-06-18 21:40:18,6
2023-06-18 21:40:19,17
2023-06-18 21:40:20,10
2023-06-18 21:40:21,6
2023-06-18 21:40:22,5
2023-06-18 21:40:23,14
2023-06-18 21:40:24,23
2023-06-18 21:40:25,15
2023-06-18 21:40:26,17
2023-06-18 21:40:27,6
2023-06-18 21:40:28,15
2023-06-18 21:40:29,10
2023-06-18 21:40:30,8
2023-06-18 21:40:31,10
2023-06-18 21:40:32,10
2023-06-18 21:40:33,9
2023-06-18 21:40:34,8
2023-06-18 21:40:35,10
2023-06-18 21:40:36,4
2023-06-18 21:40:37,4
2023-06-18 21:40:38,6
2023-06-18 21:40:39,2
2023-06-18 21:40:40,3
2023-06-18 21:40:41,6
2023-06-18 21:40:42,3
2023-06-18 21:40:43,4
2023-06-18 21:40:44,8
2023-06-18 21:40:45,8
2023-06-18 21:40:46,9
2023-06-18 21:40:47,8
2023-06-18 21:40:48,14
2023-06-18 21:40:49,20
2023-06-18 21:40:50,18
2023-06-18 21:40:51,10
2023-06-18 21:40:52,3
2023-06-18 21:40:53,3
2023-06-18 21:40:54,6
2023-06-18 21:40:55,2
2023-06-18 21:40:56,6
2023-06-18 21:40:57,7
2023-06-18 21:40:58,10
2023-06-18 21:40:59,14
