startTime,count
2023-06-18 21:39:05,7
2023-06-18 21:39:06,21
2023-06-18 21:39:07,24
2023-06-18 21:39:08,30
2023-06-18 21:39:09,26
2023-06-18 21:39:10,28
2023-06-18 21:39:11,25
2023-06-18 21:39:12,38
2023-06-18 21:39:13,37
2023-06-18 21:39:14,21
2023-06-18 21:39:15,26
2023-06-18 21:39:16,35
2023-06-18 21:39:17,21
2023-06-18 21:39:18,28
2023-06-18 21:39:19,27
2023-06-18 21:39:20,23
2023-06-18 21:39:21,14
2023-06-18 21:39:22,29
2023-06-18 21:39:23,15
2023-06-18 21:39:24,33
2023-06-18 21:39:25,19
2023-06-18 21:39:26,24
2023-06-18 21:39:27,25
2023-06-18 21:39:28,23
2023-06-18 21:39:29,25
2023-06-18 21:39:30,18
2023-06-18 21:39:31,24
2023-06-18 21:39:32,28
2023-06-18 21:39:33,19
2023-06-18 21:39:34,18
2023-06-18 21:39:35,20
2023-06-18 21:39:36,20
2023-06-18 21:39:37,14
2023-06-18 21:39:38,19
2023-06-18 21:39:39,17
2023-06-18 21:39:40,30
2023-06-18 21:39:41,15
2023-06-18 21:39:42,29
2023-06-18 21:39:43,27
2023-06-18 21:39:44,29
2023-06-18 21:39:45,29
2023-06-18 21:39:46,20
2023-06-18 21:39:47,28
2023-06-18 21:39:48,21
2023-06-18 21:39:49,22
2023-06-18 21:39:50,25
2023-06-18 21:39:51,31
2023-06-18 21:39:52,39
2023-06-18 21:39:53,31
2023-06-18 21:39:54,26
2023-06-18 21:39:55,29
2023-06-18 21:39:56,25
2023-06-18 21:39:57,30
2023-06-18 21:39:58,25
2023-06-18 21:39:59,30
2023-06-18 21:40:00,24
2023-06-18 21:40:01,24
2023-06-18 21:40:02,29
2023-06-18 21:40:03,21
2023-06-18 21:40:04,19
2023-06-18 21:40:05,28
2023-06-18 21:40:06,20
2023-06-18 21:40:07,21
2023-06-18 21:40:08,32
2023-06-18 21:40:09,31
2023-06-18 21:40:10,20
2023-06-18 21:40:11,22
2023-06-18 21:40:12,24
2023-06-18 21:40:13,31
2023-06-18 21:40:14,23
2023-06-18 21:40:15,23
2023-06-18 21:40:16,22
2023-06-18 21:40:17,22
2023-06-18 21:40:18,35
2023-06-18 21:40:19,22
2023-06-18 21:40:20,28
2023-06-18 21:40:21,33
2023-06-18 21:40:22,36
2023-06-18 21:40:23,25
2023-06-18 21:40:24,22
2023-06-18 21:40:25,22
2023-06-18 21:40:26,20
2023-06-18 21:40:27,29
2023-06-18 21:40:28,24
2023-06-18 21:40:29,24
2023-06-18 21:40:30,23
2023-06-18 21:40:31,20
2023-06-18 21:40:32,12
2023-06-18 21:40:33,15
2023-06-18 21:40:34,25
2023-06-18 21:40:35,22
2023-06-18 21:40:36,27
2023-06-18 21:40:37,26
2023-06-18 21:40:38,25
2023-06-18 21:40:39,19
2023-06-18 21:40:40,31
2023-06-18 21:40:41,24
2023-06-18 21:40:42,22
2023-06-18 21:40:43,25
2023-06-18 21:40:44,29
2023-06-18 21:40:45,28
2023-06-18 21:40:46,17
2023-06-18 21:40:47,28
2023-06-18 21:40:48,18
2023-06-18 21:40:49,18
2023-06-18 21:40:50,19
2023-06-18 21:40:51,16
2023-06-18 21:40:52,26
2023-06-18 21:40:53,27
2023-06-18 21:40:54,29
2023-06-18 21:40:55,22
2023-06-18 21:40:56,30
2023-06-18 21:40:57,25
2023-06-18 21:40:58,27
2023-06-18 21:40:59,21
2023-06-18 21:41:00,25
2023-06-18 21:41:01,21
2023-06-18 21:41:02,24
2023-06-18 21:41:03,26
2023-06-18 21:41:04,22
2023-06-18 21:41:05,29
2023-06-18 21:41:06,30
2023-06-18 21:41:07,20
2023-06-18 21:41:08,15
2023-06-18 21:41:09,28
2023-06-18 21:41:10,27
2023-06-18 21:41:11,25
2023-06-18 21:41:12,26
2023-06-18 21:41:13,24
2023-06-18 21:41:14,10
2023-06-18 21:41:15,22
2023-06-18 21:41:16,16
2023-06-18 21:41:17,20
2023-06-18 21:41:18,16
2023-06-18 21:41:19,27
2023-06-18 21:41:20,15
2023-06-18 21:41:21,23
2023-06-18 21:41:22,25
2023-06-18 21:41:23,20
2023-06-18 21:41:24,29
2023-06-18 21:41:25,32
2023-06-18 21:41:26,21
2023-06-18 21:41:27,30
2023-06-18 21:41:28,29
2023-06-18 21:41:29,20
2023-06-18 21:41:30,28
2023-06-18 21:41:31,30
2023-06-18 21:41:32,24
2023-06-18 21:41:33,15
2023-06-18 21:41:34,23
2023-06-18 21:41:35,26
2023-06-18 21:41:36,18
2023-06-18 21:41:37,15
2023-06-18 21:41:38,29
2023-06-18 21:41:39,23
2023-06-18 21:41:40,20
2023-06-18 21:41:41,22
2023-06-18 21:41:42,18
2023-06-18 21:41:43,20
2023-06-18 21:41:44,19
2023-06-18 21:41:45,18
2023-06-18 21:41:46,22
2023-06-18 21:41:47,20
2023-06-18 21:41:48,28
2023-06-18 21:41:49,21
2023-06-18 21:41:50,22
2023-06-18 21:41:51,16
2023-06-18 21:41:52,29
2023-06-18 21:41:53,30
2023-06-18 21:41:54,27
2023-06-18 21:41:55,20
2023-06-18 21:41:56,23
2023-06-18 21:41:57,18
2023-06-18 21:41:58,27
2023-06-18 21:41:59,27
2023-06-18 21:42:00,33
2023-06-18 21:42:01,18
2023-06-18 21:42:02,27
2023-06-18 21:42:03,27
2023-06-18 21:42:04,18
2023-06-18 21:42:05,25
2023-06-18 21:42:06,22
2023-06-18 21:42:07,27
2023-06-18 21:42:08,24
2023-06-18 21:42:09,25
2023-06-18 21:42:10,31
2023-06-18 21:42:11,26
2023-06-18 21:42:12,37
2023-06-18 21:42:13,28
2023-06-18 21:42:14,34
2023-06-18 21:42:15,19
2023-06-18 21:42:16,26
2023-06-18 21:42:17,15
2023-06-18 21:42:18,26
2023-06-18 21:42:19,21
2023-06-18 21:42:20,30
2023-06-18 21:42:21,34
2023-06-18 21:42:22,34
2023-06-18 21:42:23,21
2023-06-18 21:42:24,34
2023-06-18 21:42:25,27
2023-06-18 21:42:26,30
2023-06-18 21:42:27,20
2023-06-18 21:42:28,21
2023-06-18 21:42:29,24
2023-06-18 21:42:30,25
2023-06-18 21:42:31,31
2023-06-18 21:42:32,33
2023-06-18 21:42:33,20
2023-06-18 21:42:34,25
2023-06-18 21:42:35,30
2023-06-18 21:42:36,28
2023-06-18 21:42:37,21
2023-06-18 21:42:38,23
2023-06-18 21:42:39,24
2023-06-18 21:42:40,29
2023-06-18 21:42:41,17
2023-06-18 21:42:42,40
2023-06-18 21:42:43,25
2023-06-18 21:42:44,19
2023-06-18 21:42:45,28
2023-06-18 21:42:46,32
2023-06-18 21:42:47,24
2023-06-18 21:42:48,29
2023-06-18 21:42:49,28
2023-06-18 21:42:50,26
2023-06-18 21:42:51,21
2023-06-18 21:42:52,31
2023-06-18 21:42:53,17
2023-06-18 21:42:54,33
2023-06-18 21:42:55,25
2023-06-18 21:42:56,20
2023-06-18 21:42:57,20
2023-06-18 21:42:58,18
2023-06-18 21:42:59,22
2023-06-18 21:43:00,26
2023-06-18 21:43:01,23
2023-06-18 21:43:02,24
2023-06-18 21:43:03,30
2023-06-18 21:43:04,31
2023-06-18 21:43:05,27
2023-06-18 21:43:06,25
2023-06-18 21:43:07,24
2023-06-18 21:43:08,20
2023-06-18 21:43:09,20
2023-06-18 21:43:10,33
2023-06-18 21:43:11,17
2023-06-18 21:43:12,29
2023-06-18 21:43:13,23
2023-06-18 21:43:14,17
2023-06-18 21:43:15,37
2023-06-18 21:43:16,13
2023-06-18 21:43:17,28
2023-06-18 21:43:18,20
2023-06-18 21:43:19,15
2023-06-18 21:43:20,24
2023-06-18 21:43:21,25
2023-06-18 21:43:22,19
2023-06-18 21:43:23,22
2023-06-18 21:43:24,24
2023-06-18 21:43:25,22
2023-06-18 21:43:26,24
2023-06-18 21:43:27,30
2023-06-18 21:43:28,22
2023-06-18 21:43:29,30
2023-06-18 21:43:30,16
2023-06-18 21:43:31,35
2023-06-18 21:43:32,22
2023-06-18 21:43:33,26
2023-06-18 21:43:34,20
2023-06-18 21:43:35,18
2023-06-18 21:43:36,22
2023-06-18 21:43:37,22
2023-06-18 21:43:38,20
2023-06-18 21:43:39,35
2023-06-18 21:43:40,30
2023-06-18 21:43:41,26
2023-06-18 21:43:42,24
2023-06-18 21:43:43,30
2023-06-18 21:43:44,28
2023-06-18 21:43:45,34
2023-06-18 21:43:46,24
2023-06-18 21:43:47,28
2023-06-18 21:43:48,32
2023-06-18 21:43:49,38
2023-06-18 21:43:50,25
2023-06-18 21:43:51,29
2023-06-18 21:43:52,31
2023-06-18 21:43:53,26
2023-06-18 21:43:54,18
2023-06-18 21:43:55,24
2023-06-18 21:43:56,22
2023-06-18 21:43:57,27
2023-06-18 21:43:58,30
2023-06-18 21:43:59,24
2023-06-18 21:44:00,32
2023-06-18 21:44:01,31
2023-06-18 21:44:02,38
2023-06-18 21:44:03,31
2023-06-18 21:44:04,31
2023-06-18 21:44:05,37
2023-06-18 21:44:06,21
2023-06-18 21:44:07,23
2023-06-18 21:44:08,23
2023-06-18 21:44:09,16
2023-06-18 21:44:10,21
2023-06-18 21:44:11,27
2023-06-18 21:44:12,26
2023-06-18 21:44:13,27
2023-06-18 21:44:14,22
2023-06-18 21:44:15,32
2023-06-18 21:44:16,30
2023-06-18 21:44:17,29
2023-06-18 21:44:18,33
2023-06-18 21:44:19,26
2023-06-18 21:44:20,35
2023-06-18 21:44:21,24
2023-06-18 21:44:22,27
2023-06-18 21:44:23,31
2023-06-18 21:44:24,18
2023-06-18 21:44:25,25
2023-06-18 21:44:26,28
2023-06-18 21:44:27,31
2023-06-18 21:44:28,21
2023-06-18 21:44:29,31
2023-06-18 21:44:30,25
2023-06-18 21:44:31,23
2023-06-18 21:44:32,26
2023-06-18 21:44:33,27
2023-06-18 21:44:34,20
2023-06-18 21:44:35,24
2023-06-18 21:44:36,21
2023-06-18 21:44:37,23
2023-06-18 21:44:38,24
2023-06-18 21:44:39,14
2023-06-18 21:44:40,20
2023-06-18 21:44:41,25
2023-06-18 21:44:42,24
2023-06-18 21:44:43,22
2023-06-18 21:44:44,28
2023-06-18 21:44:45,17
2023-06-18 21:44:46,30
2023-06-18 21:44:47,30
2023-06-18 21:44:48,36
2023-06-18 21:44:49,27
2023-06-18 21:44:50,25
2023-06-18 21:44:51,17
2023-06-18 21:44:52,31
2023-06-18 21:44:53,21
2023-06-18 21:44:54,24
2023-06-18 21:44:55,27
2023-06-18 21:44:56,17
2023-06-18 21:44:57,19
2023-06-18 21:44:58,17
2023-06-18 21:44:59,27
2023-06-18 21:45:00,20
2023-06-18 21:45:01,20
2023-06-18 21:45:02,21
2023-06-18 21:45:03,20
2023-06-18 21:45:04,18
2023-06-18 21:45:05,31
2023-06-18 21:45:06,20
2023-06-18 21:45:07,24
2023-06-18 21:45:08,27
2023-06-18 21:45:09,23
2023-06-18 21:45:10,29
2023-06-18 21:45:11,24
2023-06-18 21:45:12,20
2023-06-18 21:45:13,24
2023-06-18 21:45:14,21
2023-06-18 21:45:15,22
2023-06-18 21:45:16,24
2023-06-18 21:45:17,20
2023-06-18 21:45:18,40
2023-06-18 21:45:19,28
2023-06-18 21:45:20,35
2023-06-18 21:45:21,29
2023-06-18 21:45:22,19
2023-06-18 21:45:23,23
2023-06-18 21:45:24,17
2023-06-18 21:45:25,18
2023-06-18 21:45:26,30
2023-06-18 21:45:27,26
2023-06-18 21:45:28,22
2023-06-18 21:45:29,36
2023-06-18 21:45:30,25
2023-06-18 21:45:31,32
2023-06-18 21:45:32,22
2023-06-18 21:45:33,20
2023-06-18 21:45:34,16
2023-06-18 21:45:35,34
2023-06-18 21:45:36,25
2023-06-18 21:45:37,17
2023-06-18 21:45:38,27
2023-06-18 21:45:39,21
2023-06-18 21:45:40,17
2023-06-18 21:45:41,17
2023-06-18 21:45:42,23
2023-06-18 21:45:43,30
2023-06-18 21:45:44,35
2023-06-18 21:45:45,26
2023-06-18 21:45:46,29
2023-06-18 21:45:47,38
2023-06-18 21:45:48,25
2023-06-18 21:45:49,25
2023-06-18 21:45:50,31
2023-06-18 21:45:51,30
2023-06-18 21:45:52,32
2023-06-18 21:45:53,28
2023-06-18 21:45:54,37
2023-06-18 21:45:55,13
