startTime,count
2023-06-18 22:25:37,1
2023-06-18 22:25:38,0
2023-06-18 22:25:39,0
2023-06-18 22:25:40,0
2023-06-18 22:25:41,0
2023-06-18 22:25:42,0
2023-06-18 22:25:43,0
2023-06-18 22:25:44,0
2023-06-18 22:25:45,0
2023-06-18 22:25:46,0
2023-06-18 22:25:47,0
2023-06-18 22:25:48,0
2023-06-18 22:25:49,0
2023-06-18 22:25:50,0
2023-06-18 22:25:51,0
2023-06-18 22:25:52,0
2023-06-18 22:25:53,0
2023-06-18 22:25:54,1
2023-06-18 22:25:55,0
2023-06-18 22:25:56,0
2023-06-18 22:25:57,0
2023-06-18 22:25:58,0
2023-06-18 22:25:59,0
2023-06-18 22:26:00,0
2023-06-18 22:26:01,0
2023-06-18 22:26:02,0
2023-06-18 22:26:03,0
2023-06-18 22:26:04,0
2023-06-18 22:26:05,0
2023-06-18 22:26:06,0
2023-06-18 22:26:07,0
2023-06-18 22:26:08,0
2023-06-18 22:26:09,0
2023-06-18 22:26:10,0
2023-06-18 22:26:11,0
2023-06-18 22:26:12,0
2023-06-18 22:26:13,0
2023-06-18 22:26:14,0
2023-06-18 22:26:15,0
2023-06-18 22:26:16,0
2023-06-18 22:26:17,0
2023-06-18 22:26:18,0
2023-06-18 22:26:19,0
2023-06-18 22:26:20,0
2023-06-18 22:26:21,0
2023-06-18 22:26:22,0
2023-06-18 22:26:23,0
2023-06-18 22:26:24,0
2023-06-18 22:26:25,0
2023-06-18 22:26:26,0
2023-06-18 22:26:27,0
2023-06-18 22:26:28,0
2023-06-18 22:26:29,0
2023-06-18 22:26:30,0
2023-06-18 22:26:31,0
2023-06-18 22:26:32,0
2023-06-18 22:26:33,0
2023-06-18 22:26:34,0
2023-06-18 22:26:35,0
2023-06-18 22:26:36,0
2023-06-18 22:26:37,0
2023-06-18 22:26:38,0
2023-06-18 22:26:39,0
2023-06-18 22:26:40,0
2023-06-18 22:26:41,0
2023-06-18 22:26:42,0
2023-06-18 22:26:43,0
2023-06-18 22:26:44,0
2023-06-18 22:26:45,0
2023-06-18 22:26:46,0
2023-06-18 22:26:47,0
2023-06-18 22:26:48,0
2023-06-18 22:26:49,0
2023-06-18 22:26:50,0
2023-06-18 22:26:51,0
2023-06-18 22:26:52,0
2023-06-18 22:26:53,0
2023-06-18 22:26:54,0
2023-06-18 22:26:55,0
2023-06-18 22:26:56,0
2023-06-18 22:26:57,0
2023-06-18 22:26:58,0
2023-06-18 22:26:59,0
2023-06-18 22:27:00,0
2023-06-18 22:27:01,0
2023-06-18 22:27:02,0
2023-06-18 22:27:03,0
2023-06-18 22:27:04,0
2023-06-18 22:27:05,0
2023-06-18 22:27:06,0
2023-06-18 22:27:07,0
2023-06-18 22:27:08,0
2023-06-18 22:27:09,0
2023-06-18 22:27:10,0
2023-06-18 22:27:11,0
2023-06-18 22:27:12,0
2023-06-18 22:27:13,1
2023-06-18 22:27:14,0
2023-06-18 22:27:15,0
2023-06-18 22:27:16,0
2023-06-18 22:27:17,0
2023-06-18 22:27:18,0
2023-06-18 22:27:19,0
2023-06-18 22:27:20,0
2023-06-18 22:27:21,0
2023-06-18 22:27:22,0
2023-06-18 22:27:23,0
2023-06-18 22:27:24,0
2023-06-18 22:27:25,0
2023-06-18 22:27:26,0
2023-06-18 22:27:27,0
2023-06-18 22:27:28,0
2023-06-18 22:27:29,0
2023-06-18 22:27:30,0
2023-06-18 22:27:31,0
2023-06-18 22:27:32,0
2023-06-18 22:27:33,1
